_CRIT_, _XCONV_, _FCONV_, _SEGMENT_, _FREQ_, _RMSSTD_, _RADIUS_, _NEAR_, _GAP_, CustMonVal, IMP_MonthSal, policy_time, 
0.6911545673, 0.0462478569, , 1, 2651, 0.6646846968, 2.85759729, 3, 1.9000634743, 195.19015466, 3513.2457563, 25.403244059, 
0.6911545673, 0.0462478569, , 2, 2823, 0.670426726, 2.6912828248, 4, 2.0111673087, 60.79571378, 2526.1693234, 36.717321998, 
0.6911545673, 0.0462478569, , 3, 2458, 0.6283473691, 2.6522982252, 1, 1.9000634743, 114.0503336, 1675.4344996, 24.795768918, 
0.6911545673, 0.0462478569, , 4, 2334, 0.8000856927, 4.4101833157, 2, 2.0111673087, 539.95742931, 2182.1643102, 32.531705227, 
