_CRIT_, _XCONV_, _FCONV_, _SEGMENT_, _FREQ_, _RMSSTD_, _RADIUS_, _NEAR_, _GAP_, CustMonVal, IMP_MonthSal, policy_time, 
0.6383807123, 0.0526281988, , 1, 2214, 0.59197991, 2.2871731698, 2, 1.8517292856, 118.44373532, 3388.1811201, 24.209123758, 
0.6383807123, 0.0526281988, , 2, 2068, 0.590139932, 2.5074553081, 1, 1.8517292856, 107.61366054, 3289.3145551, 36.411025145, 
0.6383807123, 0.0526281988, , 3, 2472, 0.6409855411, 2.6513624438, 2, 2.04037243, 20.919453883, 1577.1551375, 29.779126214, 
0.6383807123, 0.0526281988, , 4, 1775, 0.6849698537, 4.2855680868, 5, 1.7828351478, 483.27517183, 2163.8061972, 24.187042254, 
0.6383807123, 0.0526281988, , 5, 1737, 0.6957279876, 4.0207034609, 4, 1.7828351478, 480.92455959, 2080.1157168, 35.941853771, 
